Model,MSO2024
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-07,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,1,,1,
Label,,,,
TIME,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
-2.97568e-02,0,0.08,3.34,3.38
-2.97560e-02,0,-0.04,3.34,3.3
-2.97552e-02,-0.04,0.08,3.34,3.38
-2.97544e-02,0,-0.04,3.34,3.26
-2.97536e-02,0,0.08,3.3,3.38
-2.97528e-02,-0.04,-0.04,3.34,3.26
-2.97520e-02,0,0.08,3.34,3.38
-2.97512e-02,0.04,-0.04,3.34,3.3
-2.97504e-02,0,0.08,3.34,3.38
-2.97496e-02,0.04,-0.04,3.3,3.3
-2.97488e-02,0,0.08,3.34,3.38
-2.97480e-02,0,-0.04,3.3,3.3
-2.97472e-02,0.04,0.08,3.3,3.38
-2.97464e-02,0,-0.04,3.34,3.26
-2.97456e-02,-0.04,0.08,3.3,3.38
-2.97448e-02,0,-0.04,3.34,3.26
-2.97440e-02,0,0.08,3.34,3.38
-2.97432e-02,0,-0.04,3.3,3.26
-2.97424e-02,0,0.08,3.34,3.38
-2.97416e-02,0,-0.04,3.34,3.3
-2.97408e-02,0,0.08,3.3,3.38
-2.97400e-02,0,-0.04,3.34,3.3
-2.97392e-02,-0.04,0.08,3.34,3.38
-2.97384e-02,-0.04,-0.04,3.34,3.26
-2.97376e-02,0,0.04,3.34,3.38
-2.97368e-02,0,-0.04,3.34,3.3
-2.97360e-02,0,0.08,3.34,3.38
-2.97352e-02,0,-0.04,3.34,3.26
-2.97344e-02,0,0.08,3.3,3.38
-2.97336e-02,0,-0.04,3.34,3.26
-2.97328e-02,0,0.08,3.34,3.38
-2.97320e-02,0,-0.04,3.3,3.26
-2.97312e-02,0,0.08,3.3,3.38
-2.97304e-02,0,-0.04,3.3,3.26
-2.97296e-02,-0.04,0.08,3.3,3.38
-2.97288e-02,0,-0.04,3.34,3.26
-2.97280e-02,0,0.08,3.3,3.38
-2.97272e-02,0,-0.04,3.34,3.3
-2.97264e-02,0,0.08,3.3,3.38
-2.97256e-02,0,-0.04,3.3,3.26
-2.97248e-02,0,0.08,3.3,3.38
-2.97240e-02,0,-0.04,3.3,3.26
-2.97232e-02,0,0.08,3.34,3.38
-2.97224e-02,0,-0.04,3.3,3.26
-2.97216e-02,0,0.08,3.3,3.38
-2.97208e-02,0,-0.04,3.34,3.26
-2.97200e-02,0,0.08,3.3,3.38
-2.97192e-02,0,-0.04,3.34,3.26
-2.97184e-02,0,0.08,3.34,3.38
-2.97176e-02,0,-0.04,3.3,3.26
-2.97168e-02,0,0.08,3.34,3.38
-2.97160e-02,0,-0.04,3.34,3.3
-2.97152e-02,0,0.08,3.34,3.38
-2.97144e-02,0,-0.04,3.3,3.3
-2.97136e-02,0,0.08,3.34,3.38
-2.97128e-02,0,-0.04,3.3,3.26
-2.97120e-02,0,0.08,3.34,3.38
-2.97112e-02,0,-0.04,3.3,3.3
-2.97104e-02,0,0.08,3.34,3.38
-2.97096e-02,0,-0.04,3.34,3.3
-2.97088e-02,0,0.08,3.3,3.38
-2.97080e-02,0,-0.04,3.34,3.26
-2.97072e-02,0,0.08,3.34,3.38
-2.97064e-02,0,-0.04,3.3,3.3
-2.97056e-02,0,0.08,3.34,3.38
-2.97048e-02,0,-0.04,3.34,3.3
-2.97040e-02,0,0.08,3.34,3.38
-2.97032e-02,0,-0.04,3.34,3.3
-2.97024e-02,0,0.08,3.34,3.38
-2.97016e-02,0,-0.04,3.34,3.26
-2.97008e-02,0,0.08,3.3,3.38
-2.97000e-02,0,-0.04,3.3,3.26
-2.96992e-02,-0.04,0.08,3.3,3.38
-2.96984e-02,0,-0.04,3.3,3.3
-2.96976e-02,0,0.08,3.3,3.38
-2.96968e-02,0,-0.04,3.3,3.3
-2.96960e-02,0,0.08,3.34,3.38
-2.96952e-02,0,-0.04,3.34,3.26
-2.96944e-02,0,0.08,3.34,3.38
-2.96936e-02,0,-0.04,3.3,3.3
-2.96928e-02,0,0.08,3.34,3.38
-2.96920e-02,0,-0.04,3.3,3.26
-2.96912e-02,0,0.08,3.3,3.38
-2.96904e-02,0,-0.04,3.3,3.3
-2.96896e-02,0,0.08,3.34,3.38
-2.96888e-02,0.04,-0.04,3.34,3.26
-2.96880e-02,0,0.08,3.34,3.38
-2.96872e-02,0,-0.04,3.3,3.26
-2.96864e-02,0,0.08,3.34,3.38
-2.96856e-02,0,-0.04,3.34,3.26
-2.96848e-02,0,0.08,3.34,3.38
-2.96840e-02,0,-0.04,3.34,3.3
-2.96832e-02,0,0.08,3.34,3.38
